Order Status,Order Name,Replace at,Lineitem SKU,Tracking Number,Notes,Last Fulfill Date,Quantity,Paid_at,Shipping Company Name,Order Created At,Processed at,Order ID
SHIPPING,#1854,,UMICP0BK6S,tester_test_1634_04122018,,12-04-2018 09:34:39,1,12-04-2018 03:37:46,Not support,12-04-2018 02:01:28,12-04-2018 09:33:47,850122_950291_90342
TO_ORDER,#1165,12-04-2018 02:32:20,UBRABPBL2L,,,Not fulfill,1,11-22-2018 06:45:34,EMS_ZX_ZX_US,06-25-2018 05:12:24,Not processed yet,417414_463614_90325
TO_ORDER,#1165,12-04-2018 02:32:20,UBRABPBL2L,,,Not fulfill,1,11-22-2018 06:45:34,EMS_ZX_ZX_US,06-25-2018 05:12:24,Not processed yet,417414_463614_90323
TO_ORDER,#1700,12-04-2018 02:26:42,UBRABPBL2L,,,Not fulfill,1,11-08-2018 04:07:43,UPINUS_SHIPPING,10-31-2018 02:10:54,Not processed yet,762077_850032_90322
TO_ORDER,#1830,12-04-2018 02:25:09,UPTT040000,,,Not fulfill,1,11-28-2018 07:56:52,EMS_ZX_ZX_US,11-26-2018 10:44:19,Not processed yet,816919_912472_90321
TO_ORDER,#1836,11-30-2018 03:48:44,UBRABPBL2L,,,Not fulfill,1,11-29-2018 02:25:00,EMS_ZX_ZX_US,11-27-2018 08:15:26,Not processed yet,820257_916458_85857
TO_ORDER,#1836,,UPTT040000,,,Not fulfill,1,11-29-2018 02:25:00,EMS_ZX_ZX_US,11-27-2018 08:15:26,Not processed yet,820257_916458_85238
TO_ORDER,#1650,11-28-2018 07:38:43,UBRABPBL2L,,,Not fulfill,1,11-08-2018 04:07:43,EMS_ZX_ZX_US,10-11-2018 08:18:18,11-28-2018 08:22:48,714656_798954_84567
TO_ORDER,#1165,,UBRABPBL2L,,,Not fulfill,1,11-22-2018 06:45:34,EMS_ZX_ZX_US,06-25-2018 05:12:24,11-28-2018 07:42:39,417414_463614_81239
TO_ORDER,#1165,,UBRABPBL2L,,,Not fulfill,1,11-22-2018 06:45:34,EMS_ZX_ZX_US,06-25-2018 05:12:24,11-28-2018 07:42:43,417414_463615_81238
TO_ORDER,#1727,11-21-2018 09:05:30,UBRABPBL2L,,,Not fulfill,1,11-09-2018 07:59:37,EMS_ZX_ZX_US,11-09-2018 07:57:53,Not processed yet,781767_872073_80978
